,objectid,sheet_code,cd_no,sheet_name,sheet_namt,edition,year,map250k,hotmap50k,hotmap250k,sheet_id,sheet_no,shape_length,shape_area,extent,geometry,zone,url
10,11,5049-II,1,Ban Sri Don Chai,บ้านศรีดอนชัย,2-DMA,2512,NF47-15,5049ii.img,NF47-15.img,11,50492,107607.579221001,723121556.111851,"100.24663837162652,20.00115383637685,100.4966117292181,20.251137318843906",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50492&bbox=100.24663837162652,20.00115383637685,100.4966117292181,20.251137318843906"
11,12,5149-III,1,Ban Muang,บ้านม่วง,1-RTSD,2508,NF47-16,5149iii.img,NF47-16.img,12,51493,107618.481111335,723268084.197888,"100.49660634024612,20.00115859251144,100.74657981273756,20.251142178044677",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A51493&bbox=100.49660634024612,20.00115859251144,100.74657981273756,20.251142178044677"
12,13,4648-IV,1,Ban Phang Khong,บ้านปางคอง,2-RTSD,2519,NE47-2,4648iv.img,NE47-2.img,13,46484,107672.30170791,724024445.348066,"97.99693434178097,19.751134804162994,98.24690666159675,20.001117414133756",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A46484&bbox=97.99693434178097,19.751134804162994,98.24690666159675,20.001117414133756"
13,14,4748-I,1,Doi Pha Wok,ดอยผาวอก,4-RTSD,2521,NE47-2,4748i.img,NE47-2.img,15,47481,107661.36033649,723877306.320722,"98.74683691792254,19.75114782575906,98.99680956872393,20.00113073040592",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A47481&bbox=98.74683691792254,19.75114782575906,98.99680956872393,20.00113073040592"
14,15,4848-IV,1,Amphoe Fang,อําเภอฝาง,3-RTSD,2521,NE47-3,4848iv.img,NE47-3.img,16,48484,107661.360236341,723877304.936624,"98.99680456230763,19.751152256692716,99.24677732451096,20.00113526051906",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A48484&bbox=98.99680456230763,19.751152256692716,99.24677732451096,20.00113526051906"
15,16,4848-I,1,Ban Saton Mo,บ้านสันต้นหมื้อ,3-RTSD,2512,NE47-3,4848i.img,NE47-3.img,17,48481,107663.183684709,723901825.504645,"99.24677226783218,19.75115673264901,99.49674514194572,20.001139836773525",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A48481&bbox=99.24677226783218,19.75115673264901,99.49674514194572,20.001139836773525"
16,17,4948-IV,1,Ban Mae Kon,บ้านแม่กรณ์,2-RTSD,2512,NE47-3,4948iv.img,NE47-3.img,18,49484,107666.830437773,723950865.951279,"99.49674003511326,19.75116125351452,99.7467130214384,20.00114445780164",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49484&bbox=99.49674003511326,19.75116125351452,99.7467130214384,20.00114445780164"
17,18,4948-I,1,Changwat Chiang Rai,จังหวัดเชียงราย,1-RTSD,2512,NE47-3,4948i.img,NE47-3.img,19,49481,107672.301207471,724024438.425075,"99.74670786361736,19.751165820013167,99.9966809639514,20.001149124673674",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49481&bbox=99.74670786361736,19.751165820013167,99.9966809639514,20.001149124673674"
18,19,5048-IV,1,Ban Mae Pao Luang,บ้านแม่เปาหลวง,2-DMA,2512,NE47-3,5048iv.img,NE47-3.img,20,50484,107679.596161687,724122548.774483,"99.99667575530785,19.751170430082123,100.24664896892378,20.00115383637685",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50484&bbox=99.99667575530785,19.751170430082123,100.24664896892378,20.00115383637685"
19,20,5048-I,1,Ban Pha Tan,บ้านป่าตาล,2-DMA,2512,NE47-3,5048i.img,NE47-3.img,21,50481,107688.715625173,724245206.538712,"100.24664371061608,19.751175085194333,100.49661703787923,20.00115859251144",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50481&bbox=100.24664371061608,19.751175085194333,100.49661703787923,20.00115859251144"
20,21,5148-IV,1,Ban Kun Chai,บ้านกันใจ,1-RTSD,2512,NE47-4,5148iv.img,NE47-4.img,22,51484,107699.660679604,724392432.439362,"100.4966117292181,19.751179785801344,100.74658517135087,20.001163395051396",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A51484&bbox=100.4966117292181,19.751179785801344,100.74658517135087,20.001163395051396"
21,22,4548-II,1,Doi Lan,ดอยลาน,2-RTSD,2519,NE47-2,4548ii.img,NE47-2.img,23,45482,107759.720021962,725232034.792387,"97.74697168601512,19.501152263629052,97.9969438746294,19.751134804162994",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A45482&bbox=97.74697168601512,19.501152263629052,97.9969438746294,19.751134804162994"
22,23,4648-III,1,Ban Mae Lana,บ้านแม่ละนา,2-RTSD,2519,NE47-2,4648iii.img,NE47-2.img,24,46483,107752.396544821,725133463.157273,"97.99693914447953,19.501156461585346,98.2469114416363,19.751139099998234",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A46483&bbox=97.99693914447953,19.501156461585346,98.2469114416363,19.751139099998234"
23,24,4648-II,1,Doi Phak Kut,ดอยผักกูด,3-RTSD,2519,NE47-2,4648ii.img,NE47-2.img,25,46482,107746.904431121,725059545.516536,"98.24690666159675,19.501160704838433,98.49687906782019,19.751143439898666",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A46482&bbox=98.24690666159675,19.501160704838433,98.49687906782019,19.751143439898666"
24,25,4748-III,1,Ban Wiang Haeng,บ้านเวียงแหง,3-RTSD,2521,NE47-2,4748iii.img,NE47-2.img,26,47483,107743.243112729,725010270.379086,"98.49687423777512,19.501164992880472,98.74684675344152,19.75114782575906",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A47483&bbox=98.49687423777512,19.501164992880472,98.74684675344152,19.75114782575906"
25,26,4748-II,1,Ban Na Wai,บ้านนาหวาย,2-RTSD,2521,NE47-2,4748ii.img,NE47-2.img,27,47482,107741.412480993,724985633.772988,"98.74684187302817,19.501169325306307,98.99681449820493,19.751152256692716",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A47482&bbox=98.74684187302817,19.501169325306307,98.99681449820493,19.751152256692716"
26,27,4848-III,1,Ban Tha,บ้านท่า,2-RTSD,2521,NE47-3,4848iii.img,NE47-3.img,28,48483,107741.412480992,724985633.771054,"98.99680956872393,19.501173702739752,99.24678230487484,19.75115673264901",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A48483&bbox=98.99680956872393,19.501173702739752,99.24678230487484,19.75115673264901"
27,28,4848-II,1,Ban Nong Lom,บ้านหนองหล่ม,3-RTSD,2512,NE47-3,4848ii.img,NE47-3.img,29,48482,107743.242812437,725010266.226914,"99.24677732451096,19.50117812412962,99.49675017144953,19.75116125351452",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A48482&bbox=99.24677732451096,19.50117812412962,99.49675017144953,19.75116125351452"
28,29,4948-III,1,Amphoe Mae Suai,อําเภอแม่สรวย,1-RTSD,2512,NE47-3,4948iii.img,NE47-3.img,30,49483,107746.90403039,725059539.974368,"99.49674514194572,19.501182590367673,99.7467181004893,19.751165820013167",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49483&bbox=99.49674514194572,19.501182590367673,99.7467181004893,19.751165820013167"
29,30,4948-II,1,King Amphoe Pa Tak,กิ่งอําเภอป่าแตก,1-RTSD,2512,NE47-3,4948ii.img,NE47-3.img,31,49482,107752.396143801,725133457.611029,"99.7467130214384,19.50118710066536,99.99668609224896,19.751170430082123",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49482&bbox=99.7467130214384,19.50118710066536,99.99668609224896,19.751170430082123"
30,31,5048-III,1,Amphoe Thoeng,อําเภอเทิง,2-RTSD,2512,NE47-3,5048iii.img,NE47-3.img,32,50483,107759.719319994,725232025.15561,"99.9966809639514,19.50119165526322,100.24665414733765,19.751175085194333",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50483&bbox=99.9966809639514,19.50119165526322,100.24665414733765,19.751175085194333"
31,32,5048-II,1,Amphoe Chiang Kham,อําเภอเชียงคํา,2-RTSD,2512,NE47-3,5048ii.img,NE47-3.img,33,50482,107768.874577097,725355261.275714,"100.24664896892378,19.50119625451095,100.49662226554983,19.751179785801344",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A50482&bbox=100.24664896892378,19.50119625451095,100.49662226554983,19.751179785801344"
32,33,5148-III,1,Ban Suan Klang,บ้านสวนกลาง,1-RTSD,2508,NE47-4,5148iii.img,NE47-4.img,34,51483,107779.862489359,725503180.025849,"100.49661703787923,19.501200897048545,100.74659044760595,19.751184530421256",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A51483&bbox=100.49661703787923,19.501200897048545,100.74659044760595,19.751184530421256"
33,34,5148-II,1,Ban Pon,บ้านปอน,1-RTSD,2508,NE47-4,5148ii.img,NE47-4.img,35,51482,107792.683887976,725675800.253727,"100.74658517135087,19.501205584288392,100.99655869585875,19.75118931922078",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A51482&bbox=100.74658517135087,19.501205584288392,100.99655869585875,19.75118931922078"
34,35,5248-III,1,Ban Haui Kon,บ้านห้วยโก๋น,1-RTSD,2508,NE47-4,5248iii.img,NE47-4.img,36,52483,107807.339459457,725873139.840175,"100.99655336967066,19.501210314949834,101.24652700841949,19.7511941521647",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A52483&bbox=100.99655336967066,19.501210314949834,101.24652700841949,19.7511941521647"
35,36,5248-II,1,Ban Nam Phun,บ้านน้ำปูน,1-RTSD,2508,NE47-4,5248ii.img,NE47-4.img,37,52482,107823.830744093,726095229.717945,"101.24652163371617,19.501215089602862,101.49649538750204,19.751199029890095",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A52482&bbox=101.24652163371617,19.501215089602862,101.49649538750204,19.751199029890095"
36,37,4547-I,1,Changwat Mae Hong Son,จังหวัดแม่ฮ่องสอน,2-RTSD,2519,NE47-2,4547i.img,NE47-2.img,38,45471,107838.86499006,726327907.520795,"97.74697636522964,19.25117389226342,97.99694853240972,19.501156461585346",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A45471&bbox=97.74697636522964,19.25117389226342,97.99694853240972,19.501156461585346"
37,38,4647-IV,1,Ban Huai Pha,บ้านห้วยผา,2-RTSD,2519,NE47-2,4647iv.img,NE47-2.img,39,46474,107831.513193194,726228877.888732,"97.9969438746294,19.25117803929933,98.24691614901654,19.501160704838433",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A46474&bbox=97.9969438746294,19.25117803929933,98.24691614901654,19.501160704838433"
38,39,4647-I,1,Anphoe Pai,อําเภอปาย,2-RTSD,2519,NE47-2,4647i.img,NE47-2.img,40,46471,107825.999983342,726154618.707528,"98.2469114416363,19.251182229455694,98.49688382409914,19.501164992880472",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A46471&bbox=98.2469114416363,19.251182229455694,98.49688382409914,19.501164992880472"
39,40,4747-IV,1,Ban Luang Muang Kong,บ้านหลวงเมืองคง,2-RTSD,2512,NE47-2,4747iv.img,NE47-2.img,41,47474,107822.324600657,726105115.939064,"98.49687906782019,19.251186465128914,98.74685155843477,19.501169325306307",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A47474&bbox=98.49687906782019,19.251186465128914,98.74685155843477,19.501169325306307"
40,41,4747-I,1,Amphoe Chiang Dao,อําเภอเชียงดาว,1-RTSD,2512,NE47-2,4747i.img,NE47-2.img,42,47471,107820.486935858,726080365.508393,"98.74684675344152,19.251190744506882,98.99681935320083,19.501173702739752",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A47471&bbox=98.74684675344152,19.251190744506882,98.99681935320083,19.501173702739752"
41,42,4847-IV,2,Amphoe Phrao,อําเภอพร้าว,2-RTSD,2512,NE47-3,4847iv.img,NE47-3.img,43,48474,107820.486935568,726080365.50648,"98.99681449820493,19.251195067910274,99.24678720787797,19.50117812412962",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A48474&bbox=98.99681449820493,19.251195067910274,99.24678720787797,19.50117812412962"
42,43,4847-I,2,Ban Mae Tam,บ้านแม่ต๋ำ,2-RTSD,2512,NE47-3,4847i.img,NE47-3.img,44,48471,107822.324400368,726105113.167245,"99.24678230487484,19.25119943508994,99.49675512480033,19.501182590367673",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A48471&bbox=99.24678230487484,19.25119943508994,99.49675512480033,19.501182590367673"
43,44,4947-IV,2,Amphoe Wiang Pa Pao,อําเภอเวียงป่าเป้า,2-RTSD,2512,NE47-3,4947iv.img,NE47-3.img,45,49474,107825.999583345,726154613.175112,"99.49675017144953,19.251203846132405,99.74672310228738,19.50118710066536",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49474&bbox=99.49675017144953,19.251203846132405,99.74672310228738,19.50118710066536"
44,45,4947-I,2,Amphoe Mae Chai,อําเภอแม่ใจ,2-RTSD,2512,NE47-3,4947i.img,NE47-3.img,46,49471,107831.512793199,726228872.356081,"99.7467181004893,19.25120830056208,99.99669114301383,19.50119165526322",,47,"https://landsmaps.dol.go.th/geoserver/LANDSMAPS/wms?service=wms&request=GetMap&version=1.1.1&format=application%2Frss%20xml&layers=LANDSMAPS%3AV_PARCEL47&styles=SLD_PARCEL&height=256&width=256&transparent=false&srs=EPSG%3A4326&viewParams=UTMMAP%3A49471&bbox=99.7467181004893,19.25120830056208,99.99669114301383,19.50119165526322"
